3.706729014714559012e-02,5.288161039352417409e-02,7.130277951558430805e-02,7.017803192138671875e-02,6.127500931421916291e-02,7.163296540578206750e-02,8.441027005513508652e-02,7.161539395650227957e-02,8.227903842926025113e-02,6.226122379302978516e-02
4.191360870997110771e-02,6.249085267384846959e-02,6.058831612269083289e-02,7.917635440826416293e-02,8.704355557759602124e-02,7.155307133992512558e-02,8.862959543863931089e-02,8.425043423970540735e-02,7.987445990244547434e-02,7.342945734659830914e-02
5.477830568949381557e-02,8.845382531483968191e-02,7.746114730834961770e-02,1.013834873835245814e-01,1.033791621526082283e-01,9.806180000305175781e-02,1.103684822718302289e-01,1.025815407435099330e-01,1.040113528569539397e-01,1.014047066370646205e-01
6.507153511047363004e-02,9.338831901550292969e-02,1.043081680933634486e-01,1.100242773691813142e-01,1.137272357940673911e-01,1.143205324808756473e-01,1.359957853953043527e-01,1.232540448506673214e-01,1.210719267527262250e-01,1.345352967580159542e-01
7.257767518361409043e-02,1.055037975311279297e-01,1.238607088724772015e-01,1.259350617726643917e-01,1.464715798695882254e-01,1.359459400177001898e-01,1.492089271545410101e-01,1.497036457061767523e-01,1.446436564127604185e-01,1.394954522450765066e-01
9.138766129811604078e-02,1.224198182423909542e-01,1.410295804341634152e-01,1.472957611083984542e-01,1.625646591186523382e-01,1.424923737843831473e-01,1.536553382873535323e-01,1.489591916402180916e-01,1.445384025573730469e-01,1.705167134602864343e-01
9.245273272196452563e-02,1.264012018839518192e-01,1.452781200408935491e-01,1.494851430257161384e-01,1.885066350301106697e-01,1.714637756347656417e-01,1.681552092234293860e-01,1.909189860026041519e-01,1.948868592580159653e-01,1.620224634806315123e-01
1.062214136123657143e-01,1.403335571289062444e-01,1.569877147674560713e-01,1.531733194986979185e-01,1.648189703623453850e-01,1.740491072336832756e-01,1.965186595916748047e-01,1.815120379130045480e-01,1.925442536671956306e-01,1.904398123423258482e-01
1.015183130900065150e-01,1.342716852823893359e-01,1.434663136800130301e-01,1.579914728800455859e-01,1.761831442515055246e-01,1.777517318725585771e-01,1.769045670827229799e-01,2.052848815917968917e-01,1.741357485453287612e-01,1.781454563140869307e-01
1.062781810760498047e-01,1.355370521545410101e-01,1.542468547821045088e-01,1.575648148854573438e-01,1.884896755218505859e-01,1.888371944427490179e-01,1.787365754445393862e-01,1.867082118988037109e-01,1.885481039683024329e-01,1.762545585632324385e-01
